a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	childF	0.827	0.172	0.001	0.087	99354	2	deam	A	2	lcmlkin	0.267403565171945
childB	childD	0.799	0.194	0.007	0.104	99340	2	deam	A	2	lcmlkin	0.2470398078583018
childA	childE	0.807	0.192	0.001	0.097	99996	10	deam	A	2	lcmlkin	0.25107369436083904
childA	childF	0.819	0.179	0.002	0.091	99996	10	deam	A	2	lcmlkin	0.26128273319656364
childB	childD	0.781	0.215	0.004	0.112	99997	10	deam	A	2	lcmlkin	0.23108584263573284
childA	childE	0.813	0.184	0.002	0.094	99994	8	no_deam	A	2	lcmlkin	0.2567936915112986
childA	childF	0.816	0.181	0.003	0.093	99995	8	no_deam	A	2	lcmlkin	0.2592463435936304
childB	childD	0.786	0.212	0.003	0.108	99996	8	no_deam	A	2	lcmlkin	0.23434234216917213
childA	childE	0.823	0.174	0.004	0.09	99649	4	no_deam	A	2	lcmlkin	0.2649660355592769
childA	childF	0.817	0.182	0.001	0.092	99656	4	no_deam	A	2	lcmlkin	0.2592386288087998
childB	childD	0.796	0.201	0.003	0.104	99630	4	no_deam	A	2	lcmlkin	0.24291699542573525
childA	childE	0.944	0.019	0.037	0.046	70098	1	no_deam	A	2	lcmlkin	0.3785348949128292
childA	childF	0.886	0.113	0.001	0.058	70316	1	no_deam	A	2	lcmlkin	0.3155767207299465
childB	childD	0.853	0.136	0.011	0.079	70086	1	no_deam	A	2	lcmlkin	0.2928173492127814
childA	childE	0.807	0.192	0.001	0.097	99997	20	no_deam	A	2	lcmlkin	0.25107369436083904
childA	childF	0.812	0.187	0.001	0.095	99997	20	no_deam	A	2	lcmlkin	0.2551561613339303
childB	childD	0.779	0.219	0.002	0.112	99997	20	no_deam	A	2	lcmlkin	0.22862341670674657
childA	childE	0.839	0.156	0.005	0.083	93152	2	no_deam	A	2	lcmlkin	0.2788559962896022
childA	childF	0.848	0.148	0.004	0.078	93275	2	no_deam	A	2	lcmlkin	0.2857878000661796
childB	childD	0.819	0.174	0.007	0.094	93124	2	no_deam	A	2	lcmlkin	0.263366664557229
childA	childE	0.814	0.184	0.002	0.094	99997	10	no_deam	A	2	lcmlkin	0.2572003110418026
childA	childF	0.812	0.187	0.001	0.094	99997	10	no_deam	A	2	lcmlkin	0.2551561613339303
childB	childD	0.778	0.221	0.001	0.111	99997	10	no_deam	A	2	lcmlkin	0.22739539719762727
childA	childE	0.81	0.187	0.003	0.097	99998	8	deam	A	2	lcmlkin	0.25434753127692566
childA	childF	0.814	0.185	0.001	0.094	99998	8	deam	A	2	lcmlkin	0.2567891482650049
childB	childD	0.784	0.214	0.002	0.109	99997	8	deam	A	2	lcmlkin	0.23270582287514854
childA	childE	0.81	0.189	0.001	0.095	99994	4	deam	A	2	lcmlkin	0.25352317448312295
childA	childF	0.822	0.175	0.003	0.09	99994	4	deam	A	2	lcmlkin	0.2641451621110382
childB	childD	0.785	0.212	0.003	0.109	99998	4	deam	A	2	lcmlkin	0.23393588865328044
childA	childE	0.849	0.145	0.005	0.078	90807	1	deam	A	2	lcmlkin	0.2874317310249514
childA	childF	0.855	0.136	0.009	0.077	90786	1	deam	A	2	lcmlkin	0.29359950045370764
childB	childD	0.82	0.173	0.007	0.093	90761	1	deam	A	2	lcmlkin	0.26418301736990335
childA	childE	0.808	0.19	0.002	0.097	99996	20	deam	A	2	lcmlkin	0.25230140705116966
childA	childF	0.812	0.188	0.0	0.094	99997	20	deam	A	2	lcmlkin	0.2547469332494505
childB	childD	0.784	0.214	0.002	0.109	99996	20	deam	A	2	lcmlkin	0.23270582287514854
childA	childE	0.834	0.159	0.007	0.087	99318	2	deam	A	2	lcmlkin	0.27561204618085905
childA	childF	0.824	0.176	0.0	0.088	99323	2	deam	A	2	lcmlkin	0.2645448922205832
childB	childD	0.803	0.192	0.005	0.101	99287	2	deam	A	2	lcmlkin	0.24946476037041118
childA	childE	0.812	0.182	0.005	0.096	99998	10	deam	A	2	lcmlkin	0.25722428604883585
childA	childF	0.814	0.184	0.002	0.094	99997	10	deam	A	2	lcmlkin	0.2572003110418026
childB	childD	0.779	0.219	0.002	0.112	99998	10	deam	A	2	lcmlkin	0.22862341670674657
