IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childE	familyX	childF	OT	0	0.4268	0.341	0.2323	0.4028	-1	0.80176	1.0	5.4194	2	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2489	0.5149	0.2362	0.4936	-1	0.823528	1.0	8.4762	10	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2432	0.5215	0.2353	0.496	-1	0.823995	1.0	17.0909	10	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2577	0.5037	0.2385	0.4904	-1	0.823206	1.0	8.0455	8	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2509	0.5126	0.2365	0.4928	-1	0.823593	1.0	10.0556	8	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.3867	0.3727	0.2407	0.427	-1	0.809107	1.0	5.4194	4	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.383	0.3784	0.2386	0.4278	-1	0.809126	1.0	6.3704	4	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	1.0	0.0	0.0	0.0	-1	0.729429	0.0	0.3562	1	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.734	0.0	0.3846	1	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2513	0.509	0.2397	0.4942	-1	0.824185	1.0	8.0455	20	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2451	0.5167	0.2383	0.4966	-1	0.82461	1.0	17.0909	20	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.7242	0.0	0.2758	0.2758	-1	0.770953	0.8296	2.3167	2	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.7236	0.0	0.2764	0.2764	-1	0.771259	0.2414	1.8028	2	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2535	0.507	0.2395	0.493	-1	0.82387	1.0	8.0455	10	no_deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.247	0.5152	0.2378	0.4954	-1	0.824275	1.0	17.0909	10	no_deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2481	0.5174	0.2346	0.4933	-1	0.823205	1.0	9.4737	8	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2434	0.5215	0.2352	0.4959	-1	0.82386	1.0	15.5833	8	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2559	0.5194	0.2247	0.4844	-1	0.819591	1.0	8.4762	4	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2495	0.5255	0.2249	0.4877	-1	0.820368	1.0	13.2143	4	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	1.0	0.0	0.0	0.0	-1	0.759865	0.0016	1.314	1	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.761552	0.0025	1.3412	1	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2511	0.5095	0.2394	0.4941	-1	0.824115	1.0	8.0455	20	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2449	0.5173	0.2378	0.4964	-1	0.824513	1.0	17.0909	20	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.434	0.331	0.235	0.4005	-1	0.801437	1.0	5.4194	2	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.4274	0.3409	0.2317	0.4022	-1	0.801533	1.0	7.6522	2	deam	FS	1	plink_Lcmlkin	0.0
childA	familyX	childB	OT	0	0.2489	0.5147	0.2364	0.4937	-1	0.82358	1.0	8.4762	10	deam	FS	1	plink_Lcmlkin	0.0
childE	familyX	childF	OT	0	0.2438	0.5205	0.2357	0.4959	-1	0.824013	1.0	17.0909	10	deam	FS	1	plink_Lcmlkin	0.0
