IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childB	familyX	childD	OT	0	0.5043	0.4957	0.0	0.2479	-1	0.74493	1.0	5.4194	10	no_deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4827	0.5173	0.0	0.2586	-1	0.74741	0.9998	3.6279	8	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4935	0.5065	0.0	0.2532	-1	0.74544	1.0	4.5278	8	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.4957	0.5043	0.0	0.2522	-1	0.744787	1.0	5.0303	8	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4887	0.5113	0.0	0.2556	-1	0.745445	0.9998	3.6279	4	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4979	0.5021	0.0	0.2511	-1	0.743965	1.0	4.3784	4	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.5008	0.4992	0.0	0.2496	-1	0.74323	0.9996	3.5227	4	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.70065	0.0	0.7928	1	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.700203	0.0	0.7009	1	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.698901	0.0	0.6583	1	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.4876	0.5124	0.0	0.2562	-1	0.747597	0.9998	3.6279	20	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4983	0.5017	0.0	0.2508	-1	0.74591	1.0	4.5278	20	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.501	0.499	0.0	0.2495	-1	0.745082	1.0	5.0303	20	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.726	0.2283	0.0457	0.1598	-1	0.731258	0.9894	2.902	2	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.7404	0.2136	0.046	0.1528	-1	0.729681	0.9999	3.7381	2	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.7407	0.2166	0.0427	0.151	-1	0.729009	0.5795	2.0615	2	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childE	OT	0	0.485	0.515	0.0	0.2575	-1	0.74751	0.9998	3.6279	10	deam	A	2	plink_Lcmlkin	0.0
childA	familyX	childF	OT	0	0.4943	0.5057	0.0	0.2529	-1	0.745782	1.0	4.5278	10	deam	A	2	plink_Lcmlkin	0.0
childB	familyX	childD	OT	0	0.4963	0.5037	0.0	0.2519	-1	0.744885	1.0	5.6333	10	deam	A	2	plink_Lcmlkin	0.0
