a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childE	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000003	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	-0.000001	-161162.205208	54	-161162.254650	1.000000	2.983962e-01,1.948245e-01,3.972419e-02,1.894817e-01,1.681962e-01,3.986597e-02,3.239171e-02,3.064123e-02,6.478329e-03	0.428761	0.319201	0.030288	-179102.831556	5	20	no_deam	HC	4	ngsrelate
childF	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-161676.106761	58	-161676.131047	1.000000	2.983155e-01,1.937573e-01,3.956405e-02,1.885462e-01,1.672813e-01,3.934126e-02,3.340790e-02,3.262310e-02,7.163269e-03	0.436223	0.317277	0.027049	-179747.752916	5	20	no_deam	HC	4	ngsrelate
childD	childG	92033	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000001	0.000002	0.000007	0.000001	0.000001	0.000000	0.000001	0.000001	0.000014	-0.000000	-142041.800685	58	-142041.863892	0.930557	2.954494e-01,1.892346e-01,3.662019e-02,1.881431e-01,1.690162e-01,3.989145e-02,3.593346e-02,3.654491e-02,9.166794e-03	0.429270	0.321099	0.030194	-155101.205620	15	2	no_deam	HC	4	ngsrelate
childE	childG	91962	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000007	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000008	-0.000003	-139420.871167	94	-139420.920705	0.929839	2.969762e-01,1.938144e-01,4.010776e-02,1.907733e-01,1.690917e-01,3.947601e-02,3.188242e-02,3.156152e-02,6.316686e-03	0.425746	0.320483	0.031634	-153445.764040	18	2	no_deam	HC	4	ngsrelate
childF	childG	91963	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000003	0.000004	0.000005	0.000003	0.000003	0.000000	0.000003	0.000003	0.000006	-0.000000	-139680.585735	82	-139680.650103	0.929849	2.972213e-01,1.935857e-01,3.906075e-02,1.892161e-01,1.682398e-01,3.937263e-02,3.302403e-02,3.286787e-02,7.411806e-03	0.428464	0.319164	0.030410	-153757.672641	15	2	no_deam	HC	4	ngsrelate
childD	childG	99398	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000001	0.000001	0.000004	0.000001	0.000001	0.000000	0.000001	0.000001	0.000007	-0.000000	-164433.589171	74	-164433.634219	1.000000	2.977836e-01,1.881772e-01,3.631674e-02,1.874086e-01,1.675241e-01,4.045710e-02,3.500075e-02,3.789557e-02,9.436367e-03	0.425715	0.318938	0.031546	-181234.248632	6	10	no_deam	HC	4	ngsrelate
childE	childG	99398	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-161127.669752	58	-161127.674782	1.000000	2.984957e-01,1.946099e-01,3.964851e-02,1.891617e-01,1.681566e-01,4.013435e-02,3.253507e-02,3.082987e-02,6.428184e-03	0.429264	0.319132	0.030073	-179103.871904	6	10	no_deam	HC	4	ngsrelate
childF	childG	99398	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-161636.440437	46	-161636.448499	1.000000	2.982652e-01,1.938134e-01,3.969230e-02,1.886021e-01,1.672286e-01,3.928103e-02,3.332791e-02,3.255347e-02,7.235965e-03	0.436649	0.317159	0.026864	-179691.348400	6	10	no_deam	HC	4	ngsrelate
childD	childG	99414	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	-0.000000	-165598.383814	78	-165598.422823	0.999950	2.963849e-01,1.886692e-01,3.597343e-02,1.878914e-01,1.690577e-01,4.020768e-02,3.476848e-02,3.767896e-02,9.368256e-03	0.418448	0.321899	0.034791	-182288.511800	6	8	deam	HC	4	ngsrelate
childE	childG	99417	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-162456.789812	46	-162456.842204	0.999980	2.968616e-01,1.952278e-01,3.913038e-02,1.898307e-01,1.694984e-01,3.992411e-02,3.233764e-02,3.069087e-02,6.498507e-03	0.421644	0.321542	0.033426	-180364.491649	5	8	deam	HC	4	ngsrelate
childF	childG	99415	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-162944.362233	46	-162944.371622	0.999960	2.967025e-01,1.943908e-01,3.913562e-02,1.890226e-01,1.685083e-01,3.922543e-02,3.329378e-02,3.252711e-02,7.193901e-03	0.429827	0.319389	0.029854	-180924.154912	5	8	deam	HC	4	ngsrelate
childD	childG	99404	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000000	-169337.633072	62	-169337.654699	0.999909	2.932223e-01,1.891834e-01,3.535520e-02,1.886416e-01,1.722095e-01,4.036161e-02,3.431497e-02,3.760709e-02,9.104346e-03	0.404566	0.327728	0.041076	-185713.160760	9	4	deam	HC	4	ngsrelate
childE	childG	99404	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-166173.112902	46	-166173.125384	0.999909	2.941753e-01,1.954038e-01,3.859980e-02,1.902853e-01,1.727353e-01,3.976296e-02,3.171159e-02,3.087129e-02,6.454646e-03	0.407047	0.327998	0.040051	-183774.368742	9	4	deam	HC	4	ngsrelate
childF	childG	99405	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000005	-0.000000	-166766.785602	58	-166766.840683	0.999920	2.934315e-01,1.946431e-01,3.869997e-02,1.899498e-01,1.716779e-01,3.902180e-02,3.281171e-02,3.268882e-02,7.075389e-03	0.416546	0.325261	0.035833	-184451.358342	9	4	deam	HC	4	ngsrelate
childD	childG	89494	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000002	0.000002	0.000006	0.000002	0.000002	0.000000	0.000002	0.000002	0.000009	-0.000000	-144718.049534	86	-144718.094959	0.903341	2.918522e-01,1.922024e-01,3.609640e-02,1.893809e-01,1.709733e-01,4.029164e-02,3.334687e-02,3.697714e-02,8.879123e-03	0.406164	0.323632	0.040068	-156889.935373	19	1	deam	HC	4	ngsrelate
childE	childG	89452	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000001	-142133.348750	62	-142133.355585	0.902917	2.909991e-01,1.968173e-01,3.815259e-02,1.921608e-01,1.739325e-01,4.088073e-02,3.185190e-02,2.935421e-02,5.850850e-03	0.402481	0.328660	0.042033	-155261.912106	18	1	deam	HC	4	ngsrelate
childF	childG	89371	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-142415.777303	62	-142415.784926	0.902100	2.908728e-01,1.968334e-01,3.849771e-02,1.903213e-01,1.713736e-01,3.941674e-02,3.370876e-02,3.201799e-02,6.957711e-03	0.421340	0.322862	0.033645	-155655.561787	18	1	deam	HC	4	ngsrelate
childD	childG	99410	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	-0.000000	-164473.887260	54	-164473.914226	1.000000	2.976675e-01,1.881224e-01,3.638273e-02,1.876329e-01,1.676775e-01,4.033345e-02,3.477565e-02,3.791055e-02,9.497282e-03	0.424376	0.319290	0.032129	-181302.121964	5	20	deam	HC	4	ngsrelate
childE	childG	99410	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-161188.509976	66	-161188.543053	1.000000	2.984069e-01,1.948280e-01,3.977312e-02,1.893393e-01,1.682351e-01,3.999227e-02,3.232975e-02,3.064754e-02,6.448029e-03	0.428584	0.319286	0.030368	-179139.138188	5	20	deam	HC	4	ngsrelate
childF	childG	99410	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000001	0.000002	0.000004	0.000001	0.000001	0.000000	0.000001	0.000001	0.000008	-0.000001	-161704.275504	55	-161704.358788	1.000000	2.981924e-01,1.937200e-01,3.950193e-02,1.884204e-01,1.673277e-01,3.949891e-02,3.346335e-02,3.266275e-02,7.212553e-03	0.436062	0.317349	0.027121	-179825.328887	5	20	deam	HC	4	ngsrelate
childD	childG	98604	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	-0.000000	-169671.472048	54	-169671.508515	0.993281	2.903307e-01,1.898196e-01,3.554770e-02,1.901850e-01,1.733957e-01,3.999913e-02,3.430644e-02,3.741073e-02,9.004941e-03	0.402860	0.328856	0.041889	-185042.925330	11	2	deam	HC	4	ngsrelate
childE	childG	98616	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000005	-0.000000	-166518.196281	58	-166518.251229	0.993402	2.926505e-01,1.960176e-01,3.873772e-02,1.906710e-01,1.734556e-01,3.968249e-02,3.172157e-02,3.086347e-02,6.200042e-03	0.406209	0.328705	0.040462	-182976.770069	11	2	deam	HC	4	ngsrelate
childF	childG	98606	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-167311.922309	58	-167311.928864	0.993301	2.923439e-01,1.945991e-01,3.868716e-02,1.901486e-01,1.730498e-01,3.884565e-02,3.250308e-02,3.284793e-02,6.974652e-03	0.411386	0.327975	0.038215	-183847.844789	11	2	deam	HC	4	ngsrelate
childD	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-165014.371569	82	-165014.402819	0.999980	2.968085e-01,1.886167e-01,3.613040e-02,1.878792e-01,1.684053e-01,4.028190e-02,3.469076e-02,3.765772e-02,9.529478e-03	0.420540	0.320615	0.033824	-181765.371805	5	10	deam	HC	4	ngsrelate
childE	childG	99409	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000007	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000006	-0.000002	-161784.971042	51	-161785.066619	0.999990	2.975227e-01,1.949158e-01,3.937466e-02,1.894324e-01,1.689117e-01,4.004403e-02,3.242133e-02,3.085350e-02,6.523884e-03	0.425050	0.320490	0.031926	-179758.763573	5	10	deam	HC	4	ngsrelate
childF	childG	99409	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-162347.823833	58	-162347.854354	0.999990	2.974780e-01,1.940906e-01,3.930078e-02,1.884989e-01,1.680837e-01,3.943738e-02,3.339954e-02,3.250686e-02,7.204119e-03	0.432525	0.318803	0.028687	-180403.302601	5	10	deam	HC	4	ngsrelate
childD	childG	99378	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000000	-164334.814662	70	-164334.837175	0.999970	2.980002e-01,1.880437e-01,3.642288e-02,1.872856e-01,1.676097e-01,4.061527e-02,3.489691e-02,3.781552e-02,9.310155e-03	0.425511	0.319208	0.031649	-181082.505258	6	8	no_deam	HC	4	ngsrelate
childE	childG	99379	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000000	-161049.267106	54	-161049.282176	0.999980	2.982396e-01,1.945852e-01,3.971259e-02,1.894799e-01,1.679154e-01,3.999128e-02,3.248858e-02,3.094729e-02,6.640156e-03	0.429985	0.318501	0.029732	-179060.658391	6	8	no_deam	HC	4	ngsrelate
childF	childG	99380	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000000	-161567.548338	54	-161567.582558	0.999990	2.982665e-01,1.936610e-01,3.971083e-02,1.885314e-01,1.672125e-01,3.933390e-02,3.340014e-02,3.258283e-02,7.300997e-03	0.437234	0.317159	0.026620	-179623.575528	6	8	no_deam	HC	4	ngsrelate
childD	childG	98855	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-161600.746806	78	-161600.763502	0.996060	2.981405e-01,1.884657e-01,3.642696e-02,1.877676e-01,1.668337e-01,4.063392e-02,3.525962e-02,3.726564e-02,9.206414e-03	0.429689	0.317283	0.029780	-177474.719880	10	4	no_deam	HC	4	ngsrelate
childE	childG	98881	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000004	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000002	-158483.440066	54	-158483.478429	0.996322	2.987312e-01,1.945054e-01,3.953343e-02,1.900041e-01,1.671752e-01,4.040633e-02,3.242936e-02,3.088265e-02,6.332290e-03	0.430463	0.316763	0.029424	-175528.358173	10	4	no_deam	HC	4	ngsrelate
childF	childG	98885	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000003	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000001	-159053.986788	70	-159054.017548	0.996363	2.986005e-01,1.929050e-01,3.962239e-02,1.892015e-01,1.666869e-01,3.949491e-02,3.350749e-02,3.281454e-02,7.166787e-03	0.438726	0.315967	0.025930	-176164.941116	10	4	no_deam	HC	4	ngsrelate
childD	childG	68324	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000002	-95970.849950	90	-95970.857870	0.694455	2.946510e-01,1.899913e-01,3.710553e-02,1.915368e-01,1.680114e-01,3.855037e-02,3.422144e-02,3.750727e-02,8.424935e-03	0.424537	0.317654	0.031952	-104229.029412	30	1	no_deam	HC	4	ngsrelate
childE	childG	68432	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000017	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000009	-0.000008	-94532.956929	82	-94532.982619	0.695553	2.965347e-01,1.953553e-01,4.020937e-02,1.916395e-01,1.686029e-01,3.910943e-02,3.215268e-02,3.124161e-02,5.154550e-03	0.429186	0.318294	0.030053	-103496.777665	30	1	no_deam	HC	4	ngsrelate
childF	childG	68549	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000038	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000019	-0.000018	-94789.619855	70	-94789.669770	0.696742	2.949279e-01,1.966687e-01,3.796537e-02,1.921521e-01,1.677418e-01,4.053359e-02,3.345948e-02,3.108654e-02,5.464598e-03	0.425802	0.315384	0.031274	-103749.820126	31	1	no_deam	HC	4	ngsrelate
childD	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	-0.000000	-164446.222708	74	-164446.244742	1.000000	2.977021e-01,1.882345e-01,3.634518e-02,1.875909e-01,1.676385e-01,4.035798e-02,3.482603e-02,3.777838e-02,9.526382e-03	0.424552	0.319231	0.032051	-181264.549575	5	20	no_deam	HC	4	ngsrelate
childE	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000003	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000005	-0.000001	-161160.845794	62	-161160.915907	1.000000	2.984167e-01,1.948010e-01,3.975523e-02,1.893436e-01,1.681890e-01,4.000605e-02,3.235888e-02,3.066135e-02,6.468271e-03	0.428768	0.319189	0.030284	-179122.694529	5	20	no_deam	HC	4	ngsrelate
childF	childG	99408	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000003	0.000003	0.000004	0.000003	0.000003	0.000000	0.000003	0.000003	0.000005	-0.000000	-161674.564026	71	-161674.645683	1.000000	2.981652e-01,1.937829e-01,3.954298e-02,1.885261e-01,1.672756e-01,3.938322e-02,3.342783e-02,3.259295e-02,7.303215e-03	0.436231	0.317257	0.027045	-179800.039833	5	20	no_deam	HC	4	ngsrelate
childD	childG	91922	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000001	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-141935.628312	66	-141935.655619	0.929284	2.954965e-01,1.884273e-01,3.698538e-02,1.886560e-01,1.677372e-01,4.153816e-02,3.520814e-02,3.735175e-02,8.599556e-03	0.430396	0.317584	0.029503	-154964.019409	14	2	no_deam	HC	4	ngsrelate
childE	childG	91890	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000017	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000011	-0.000008	-139310.601511	70	-139310.668038	0.928961	2.952555e-01,1.946313e-01,4.060153e-02,1.917616e-01,1.696936e-01,3.954580e-02,3.159217e-02,3.016391e-02,6.754540e-03	0.425436	0.321209	0.031812	-153299.444781	14	2	no_deam	HC	4	ngsrelate
childF	childG	92049	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000010	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000007	-0.000004	-140143.315564	86	-140143.371479	0.930568	2.950002e-01,1.958368e-01,4.071987e-02,1.890040e-01,1.657350e-01,3.913870e-02,3.440490e-02,3.326917e-02,6.891423e-03	0.453283	0.311313	0.019634	-154215.800598	15	2	no_deam	HC	4	ngsrelate
childD	childG	99395	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004	0.000000	0.000004	0.000004	0.000004	-0.000000	-164440.400976	50	-164440.471536	1.000000	2.977289e-01,1.880891e-01,3.630292e-02,1.874114e-01,1.675983e-01,4.043219e-02,3.497720e-02,3.795402e-02,9.506023e-03	0.425303	0.319133	0.031731	-181263.162344	5	10	no_deam	HC	4	ngsrelate
childE	childG	99395	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	-0.000000	-161157.284928	54	-161157.297621	1.000000	2.984159e-01,1.946537e-01,3.973975e-02,1.892600e-01,1.681596e-01,4.006154e-02,3.244121e-02,3.082780e-02,6.440429e-03	0.429241	0.319098	0.030081	-179117.635152	6	10	no_deam	HC	4	ngsrelate
childF	childG	99395	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000004	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000007	-0.000002	-161675.381567	58	-161675.451317	1.000000	2.981479e-01,1.937701e-01,3.963957e-02,1.885672e-01,1.672152e-01,3.927275e-02,3.340015e-02,3.265794e-02,7.329228e-03	0.436801	0.317111	0.026798	-179767.677292	6	10	no_deam	HC	4	ngsrelate
childD	childG	99409	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	-0.000000	-165774.828948	58	-165774.852886	0.999980	2.964250e-01,1.885332e-01,3.613686e-02,1.878975e-01,1.689833e-01,4.031127e-02,3.454212e-02,3.786705e-02,9.303641e-03	0.418260	0.321697	0.034855	-182472.432001	6	8	deam	HC	4	ngsrelate
